,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
70,,파륜아이, 박은비,"스릴러, 드라마, 타임슬립",다음 웹툰,부모를 살해한 형. 형이 부모를 죽일 수 밖에 없었던 진실과 마주친다.,0,9.7,1,0,http://t1.daumcdn.net/webtoon/op/2073c7901e42e6634063044154b8ab7b9356b20f,http://webtoon.daum.net//webtoon/view/favorite
71,,일단 질러! 질렐루야, yami ,"코믹, 일상, 쇼핑",다음 웹툰,소소한 생활지름의 세계로 오라~ ,0,9.6,1,0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5526346602394B0001,http://webtoon.daum.net//webtoon/view/favorite
72,,퀴퀴한 일기, 2B,"코믹, 일상, 여자들",다음 웹툰,즈질스럽고 퀴퀴한 언니의 쿰쿰한 일상다반사,0,9.9,1,0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5742D034062D9D0001,http://webtoon.daum.net//webtoon/view/favorite
73,,사랑하는 존재, 향유 크리에이티브,"드라마, 순정, 사랑",다음 웹툰,심장 이식 수술을 받은 소유. 이식받은 심장이 같은 반 남자애 아빠의 심장이라고?,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/97c448b241bb5a881491be302a61ba19829e236a,http://webtoon.daum.net//webtoon/view/favorite
74,,논현동 장사꾼, 김영현/아론/구김,"드라마, 장사, 요리",다음 웹툰,장사를 4번이나 말아먹었다. 그런데 이 괴팍한 할머니가 장사의 신이라고? 제발 제자로 받아주세요!,0,9.7,1,0,http://t1.daumcdn.net/webtoon/op/ccd877c947887ff4aecbfcb299610885379920dc,http://webtoon.daum.net//webtoon/view/favorite
75,,"신성한, 이혼", 강태경,"드라마, 지식, 결혼생활",다음 웹툰,"결혼은 아름답고 이혼은 치열하다. 누구나 지는 싸움, 이혼 소송.",0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/0b0eb150bbf850b0ecee52ff62fcfa32e457d224,http://webtoon.daum.net//webtoon/view/favorite
76,,백의조각, 홍일,"공포, 미스터리, 저주",다음 웹툰,"반복되는 저주, 받아들일 것인가 끊어낼 것인가",19,9.8,1,0,http://t1.daumcdn.net/webtoon/op/41ee0e70fb6c31f047684ecf00569564ab1814a9,http://webtoon.daum.net//webtoon/view/favorite
77,,액괴, 서강용,"학원, 액션, 일진",다음 웹툰,"교내 괴롭힘으로 황색망사점균을 먹게 된 수와 진오, 이후 둘은 알 수 없는 신체 변화를 겪고 액체 괴물과 같은 능력을 얻게 되는데..",0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/71440019d590859a0adc713e918c290c2fbb12b7,http://webtoon.daum.net//webtoon/view/favorite
78,,그녀의 앵무새, 금계수,"순정, 드라마, 청춘",다음 웹툰,현실적인 삶을 사는 은행원 '진아'와 이상적인 삶을 추구하는 정체불명 앵무새 '호두'. 두 상극이 만나며 벌어지는 이야기.,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/35c3c85f9ebd9b1a7309216f71f687731c6688d9,http://webtoon.daum.net//webtoon/view/favorite
79,,후궁공략, 봉봉,"판타지, 게임, 궁",다음 웹툰, 가상현실 게임 <후궁공략>에 갇혀버렸다? 현실로 돌아갈 방법은 황후가 되는 엔딩을 보는 것 뿐!,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/56b9ee0c740c97922cb3ff8ea5085c5f539ec191,http://webtoon.daum.net//webtoon/view/favorite
